num_stops,total_distance_km,avg_stop_distance_km,traffic_level,weather_severity,current_speed,speed_ratio,hour_sin,hour_cos,day_sin,day_cos,wind_speed,temperature,actual_eta_minutes,base_eta_minutes,traffic_delay,weather_delay,city,traffic_level_str,weather,hour,day_of_week,is_rush_hour
7,9.857986396452107,1.4082837709217295,0.0,1.0,25.714285714285715,0.6,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,2.5623794042876873,40.790889497084066,21.91278329203422,14.292795965046695,0.0,10.18467421267373,New York,none,Storm,10,1,False
2,14.832137379348485,7.416068689674242,0.75,0.0,21.42857142857143,0.5,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,4.9709412671662125,33.67176609008341,36.55292486788258,25.805600222560646,11.498844377795232,0.0,New York,heavy,Cloudy,9,4,True
6,24.011075980373867,4.001845996728978,0.0,0.0,50.0,1.0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,18.970184178244182,86.76592020995484,19.030767544720263,17.903793590197623,0.0,0.0,Houston,none,Clear,15,6,False
4,23.63978724596021,5.909946811490053,0.0,0.66,29.439999999999998,0.736,-1.0,-1.8369701987210297e-16,0.0,1.0,2.4179094208366,37.842988132949316,37.09449401497112,29.937063780247612,0.0,5.389977465389839,Los Angeles,none,Rain,18,0,True
6,66.4991716890126,11.0831952815021,0.5,0.0,34.61538461538461,0.7500000000000001,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,23.057384300703998,39.86404825975219,73.34108482141535,71.62267198206834,2.472801188470749,0.0,Chicago,moderate,Cloudy,17,4,True
8,49.85871556513828,6.232339445642285,0.0,0.8,31.38461538461538,0.68,-0.9659258262890683,-0.25881904510252063,0.0,1.0,19.326708519717297,73.65958906976573,67.88108872548011,59.22808896694203,0.0,5.940886082643031,Chicago,none,Snow,17,0,True
8,70.79770709151666,8.849713386439582,0.5,0.0,30.0,0.75,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,9.120804474252106,72.04811998865722,92.6013459034284,87.98353000797427,4.221085802701296,0.0,Los Angeles,moderate,Clear,12,3,False
7,52.160150169704984,7.451450024243569,0.25,0.0,38.57142857142857,0.8999999999999999,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,11.556505296277894,47.42308828453985,52.75232100642999,50.41694817446696,0.8098434803528339,0.0,New York,light,Clear,8,5,True
7,23.95129678347907,3.4216138262112956,0.0,0.66,40.14545454545454,0.7359999999999999,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,20.126145019280358,83.77356342242892,29.892180225728,22.24314009718521,0.0,3.6046591480893158,Phoenix,none,Rain,11,1,False
6,23.44517810836408,3.9075296847273466,0.25,0.0,41.53846153846153,0.9,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,6.6220041624513115,60.90766671300612,23.56896748784713,21.042947585741363,0.7398825230819503,0.0,Chicago,light,Clear,13,5,False
6,27.07452611171353,4.512421018618922,0.25,0.0,49.090909090909086,0.8999999999999999,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,5.483018978932083,57.162231823845026,22.68287268514464,20.561899579872556,2.9926128194853305,0.0,Phoenix,light,Clear,15,4,False
2,19.11551419959687,9.557757099798435,0.25,0.0,38.57142857142857,0.8999999999999999,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,9.619182791862501,69.57376893611435,20.21210061877388,18.476670132156052,1.7876652850833843,0.0,New York,light,Clear,8,3,True
5,26.254185993318902,5.25083719866378,0.25,1.0,29.454545454545453,0.5399999999999999,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,17.04275922566437,77.40547461969226,41.09465590897152,33.23147951685139,1.6109109912263855,6.8677763296678,Phoenix,light,Storm,14,5,False
5,40.90550692947303,8.181101385894605,0.25,0.66,26.496,0.6624,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,19.049054976301615,93.2289502288172,60.7533370566442,57.5578957989454,1.5230450238129758,2.42564329119082,Los Angeles,light,Rain,17,2,True
7,69.00064669545452,9.85723524220779,0.25,0.0,41.53846153846153,0.9,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,19.062770001878782,41.628873918626994,63.9887578040915,61.930729853432595,1.6181370903588772,0.0,Chicago,light,Clear,14,1,False
